,Brand,Model,Year,Condition,Mileage,Gearbox,Fiscal Power,Fuel,Equipment,Number of Doors,Origin,First Owner,Location,Sector,Price
27581,Citroen,C15,2006,Good,10 000 - 14 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'CD/MP3/Bluetooth']",5.0,Customs-cleared car,No,Taza,Toute la ville,709238091.0
69207,Hyundai,Accent,2006,Good,15 000 - 19 999,Manual,8 CV,Petrol,"['CD/MP3/Bluetooth', 'Rear Camera']",5.0,WW in Morocco,No,Casablanca,Ain Sebaa,4300000.0
30054,Kia,Cerato,2006,Excellent,15 000 - 19 999,Manual,6 CV,Diesel,"['Rear Camera', 'Air Conditioning', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Central Locking']",5.0,WW in Morocco,No,Tétouan,Mhannech,4800000.0
59747,Peugeot,307,2006,Excellent,300 000 - 349 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Rear Camera', 'Alloy Wheels', 'Speed Limiter', 'Navigation System/GPS', 'Central Locking']",5.0,WW in Morocco,No,Khemisset,Toute la ville,7500000.0
45745,Volkswagen,Touareg,2006,Very Good,10 000 - 14 999,Automatic,11 CV,Diesel,"['Rear Camera', 'Alloy Wheels']",5.0,Car not yet customs-cleared,No,Fès,Route d'Immouzere,1111111111.0
36049,Toyota,Corolla verso,2006,Good,5 000 - 9 999,Manual,8 CV,Diesel,"['Rear Camera', 'Air Conditioning', 'Alloy Wheels', 'Speed Limiter', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Berkane,Toute la ville,6000000.0
46558,Kia,Sorento,2007,Very Good,250 000 - 299 999,Manual,12 CV,Diesel,"['Alloy Wheels', 'CD/MP3/Bluetooth']",5.0,WW in Morocco,Yes,Oujda,Hay Ennasr,11111111.0
24521,Renault,Kangoo,2007,Excellent,450 000 - 499 999,Manual,7 CV,Diesel,"['CD/MP3/Bluetooth', 'Leather Seats']",5.0,Customs-cleared car,No,Tanger,Aouama Gharbia,7000000.0
41779,Hyundai,Santa Fe,2008,Good,25 000 - 29 999,Manual,9 CV,Diesel,"['ABS', 'Airbags', 'Rear Camera', 'Alloy Wheels', 'Onboard Computer', 'Parking Sensors', 'Leather Seats', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,WW in Morocco,No,Saidia,Toute la ville,7500000.0
58864,Volkswagen,GOLF 5,2008,Very Good,130 000 - 139 999,Manual,Plus de 41 CV,Diesel,"['ABS', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Navigation System/GPS', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Fquih Ben Saleh,Toute la ville,120000000.0
46020,Audi,A6,2008,Excellent,5 000 - 9 999,Manual,34 CV,Diesel,"['Alloy Wheels', 'Alloy Wheels']",5.0,Car not yet customs-cleared,No,Nador,Other,9000000.0
51583,Mercedes-Benz,220,2008,Excellent,250 000 - 299 999,Automatic,9 CV,Diesel,"['Alloy Wheels', 'Alloy Wheels']",3.0,Customs-cleared car,Yes,Nador,Aarid,1380000.0
63319,Peugeot,407,2008,Very Good,200 000 - 249 999,Manual,6 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Cruise Control', 'Electric Windows']",5.0,Customs-cleared car,No,Oujda,Najd,9300000.0
62841,Toyota,Hilux,2008,Fair,95 000 - 99 999,Manual,10 CV,Diesel,"['Alloy Wheels', 'Alloy Wheels']",3.0,WW in Morocco,No,Azilal,Toute la ville,110000000.0
32541,Renault,Kangoo,2008,Excellent,0 - 4 999,Manual,8 CV,Diesel,['Alloy Wheels'],5.0,WW in Morocco,Yes,Taourirt,Toute la ville,1000004663.0
33020,Land Rover,Range Rover Sport,2009,Very Good,200 000 - 249 999,Automatic,11 CV,Diesel,"['ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Rear Camera', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Leather Seats', 'Central Locking', 'Electric Windows']",5.0,Imported New,No,Casablanca,Aïn Chock,661778068.0
76316,Dacia,Sandero,2009,Good,30 000 - 34 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Alloy Wheels']",5.0,WW in Morocco,No,Zaïo,Toute la ville,6500000.0
76332,Dacia,Sandero,2009,Good,30 000 - 34 999,Manual,6 CV,Diesel,"['CD/MP3/Bluetooth', 'Electric Windows']",5.0,WW in Morocco,No,Zaïo,Toute la ville,6500000.0
44073,Audi,a3_sportback,2009,Excellent,5 000 - 9 999,Manual,8 CV,Diesel,"['Airbags', 'CD/MP3/Bluetooth', 'Air Conditioning', 'ESP', 'Alloy Wheels', 'Speed Limiter', 'Onboard Computer', 'Parking Sensors', 'Cruise Control', 'Central Locking', 'Electric Windows']",5.0,Customs-cleared car,No,Khouribga,Toute la ville,1400000.0
49273,Dacia,Logan,2009,Good,150 000 - 159 999,Manual,8 CV,Petrol,"['Leather Seats', 'Alloy Wheels']",5.0,WW in Morocco,No,Taza,Toute la ville,5000000.0
31767,Hyundai,H-1,2009,Good,15 000 - 19 999,Manual,10 CV,Diesel,"['CD/MP3/Bluetooth', 'Electric Windows']",5.0,WW in Morocco,No,Rabat,Médina de Rabat,7500000.0
